# ra dec
3.42240 -0.34616
3.41108 -0.34801
3.39937 -0.31637
3.41833 -0.35388
3.43131 -0.37623
3.41066 -0.37195
3.40808 -0.32121
3.40806 -0.32650
3.40658 -0.32555
3.41707 -0.34410
3.38098 -0.29987
3.41163 -0.35185
3.42730 -0.36505
3.38828 -0.31248
3.41266 -0.36338
3.43171 -0.37086
3.40946 -0.32897
3.41964 -0.37149
3.39382 -0.33811
3.43725 -0.40217
3.43751 -0.40543
3.43476 -0.40055
3.45028 -0.43122
3.40489 -0.32185
3.39924 -0.32356
3.40034 -0.33721
3.41214 -0.35115
3.41145 -0.34087
3.40219 -0.34879
3.40865 -0.34367
3.44762 -0.38773
3.42313 -0.37706
3.34265 -0.22378
3.41488 -0.35955
3.38651 -0.29955
3.40388 -0.33213
3.38693 -0.29107
3.39547 -0.30899
3.42003 -0.37203
3.40915 -0.34847
3.39484 -0.32589
3.37574 -0.28149
3.43378 -0.38591
3.38900 -0.30314
3.40240 -0.31761
3.36520 -0.25729
3.44560 -0.43292
3.40621 -0.35685
3.41525 -0.36007
3.41065 -0.35054
3.38591 -0.31167
3.44605 -0.42489
3.38063 -0.28987
3.41115 -0.34819
3.38558 -0.29658
3.41371 -0.38442
3.40404 -0.33979
3.40813 -0.34567
3.39809 -0.32236
3.38729 -0.29179
3.38234 -0.30012
3.39534 -0.29914
3.44996 -0.40279
3.42769 -0.37904
3.40451 -0.34898
3.44834 -0.41180
3.42618 -0.34609
3.40639 -0.34081
3.40821 -0.35834
3.41585 -0.35885
3.43130 -0.38275
3.39039 -0.31518
3.38781 -0.30944
3.41169 -0.37414
3.39660 -0.30897
3.41885 -0.35620
3.42023 -0.35777
3.41195 -0.34740
3.40435 -0.33611
3.37905 -0.27715
3.37813 -0.28393
3.42844 -0.37985
3.43992 -0.38338
3.45417 -0.40736
3.42798 -0.42249
3.41729 -0.33471
3.44716 -0.39646
3.40604 -0.33806
3.39776 -0.32536
3.42204 -0.38041
3.45328 -0.39650
3.46240 -0.45844
3.43672 -0.38923
3.35892 -0.28269
3.40305 -0.33913
3.41971 -0.36176
3.40545 -0.32943
3.42544 -0.37379
3.44372 -0.40550
3.43992 -0.41973
3.38716 -0.30556
3.41313 -0.34143
3.41120 -0.34359
3.41061 -0.35034
3.41281 -0.35452
3.40089 -0.32896
3.44491 -0.41442
3.38702 -0.28680
3.47187 -0.39788
3.40813 -0.35606
3.39589 -0.31838
3.38888 -0.30176
3.40408 -0.32622
3.39235 -0.32246
3.36699 -0.29110
