# ra dec
3.40742 -0.32426
3.42475 -0.35974
3.40989 -0.33166
3.43261 -0.38074
3.41931 -0.35459
3.36152 -0.26082
3.39760 -0.32558
3.41631 -0.37951
3.44326 -0.39733
3.40355 -0.31545
3.40907 -0.34720
3.41929 -0.35880
3.39656 -0.30417
3.40956 -0.33245
3.38649 -0.30024
3.38500 -0.30393
3.43063 -0.37477
3.37844 -0.28023
3.42489 -0.36576
3.40971 -0.34289
3.39223 -0.33609
3.40243 -0.32722
3.42612 -0.41216
3.38196 -0.28969
3.41134 -0.35452
3.44206 -0.39380
3.37847 -0.27122
3.42762 -0.34757
3.40440 -0.35219
3.38667 -0.29704
3.41453 -0.34052
3.42874 -0.37694
3.41721 -0.33964
3.39143 -0.30568
3.45043 -0.40931
3.40253 -0.32732
3.39127 -0.28062
3.37907 -0.29629
3.43344 -0.37809
3.42578 -0.36170
3.41656 -0.38256
3.41485 -0.36034
3.42730 -0.37161
3.41924 -0.35287
3.38586 -0.30438
3.41957 -0.38192
3.40862 -0.33232
3.41312 -0.33147
3.42190 -0.37550
3.39472 -0.31815
3.39614 -0.32364
3.41783 -0.37214
3.40680 -0.35571
3.40981 -0.35541
3.41658 -0.34621
3.40925 -0.35883
3.40035 -0.34051
3.40252 -0.34431
3.41955 -0.37285
3.42630 -0.36339
3.40311 -0.34447
3.45076 -0.41316
3.41145 -0.34640
3.43741 -0.38686
3.41876 -0.34977
3.43862 -0.40751
3.43747 -0.38900
3.40371 -0.33785
3.40122 -0.32933
3.39030 -0.30418
3.38608 -0.30853
3.43569 -0.40288
3.41783 -0.35338
3.41735 -0.36589
3.40467 -0.31009
3.39426 -0.32790
3.43498 -0.37366
3.41024 -0.34329
3.40526 -0.29690
3.39751 -0.32081
3.43234 -0.39123
3.41787 -0.36218
3.40488 -0.33107
3.48037 -0.44294
3.40180 -0.32938
3.39149 -0.30590
3.44594 -0.40266
3.40347 -0.34194
3.37713 -0.30420
3.41066 -0.35356
3.40281 -0.32583
3.41140 -0.34842
3.38790 -0.31670
3.40789 -0.34243
3.44469 -0.40210
3.42101 -0.33965
3.41925 -0.35443
3.40908 -0.33309
3.41675 -0.36726
3.42649 -0.37821
3.46009 -0.40661
3.41068 -0.35918
3.42513 -0.34787
3.43836 -0.40307
3.44156 -0.40111
3.39979 -0.34213
3.40495 -0.33514
3.44680 -0.38968
3.40514 -0.35565
3.44534 -0.41319
3.38380 -0.33029
3.43575 -0.36917
3.43473 -0.36356
3.40245 -0.32716
3.43397 -0.38475
3.40624 -0.33002
3.41133 -0.36033
3.37019 -0.26795
3.46564 -0.41449
3.37192 -0.29489
3.37820 -0.30260
3.39421 -0.29656
3.41359 -0.33332
3.42431 -0.37421
3.41315 -0.33530
3.42296 -0.37199
3.40699 -0.34485
3.40396 -0.33836
3.39160 -0.28654
3.41800 -0.36683
3.39747 -0.30254
3.42144 -0.37440
3.39474 -0.32934
3.42578 -0.35790
3.39027 -0.32543
3.42943 -0.35979
3.42106 -0.37637
3.41667 -0.35513
3.41297 -0.35169
3.39457 -0.32671
3.39441 -0.31308
3.41913 -0.34652
3.43014 -0.37203
3.39284 -0.31630
3.41038 -0.33907
3.42241 -0.37075
3.44039 -0.41190
3.39314 -0.32452
3.40875 -0.32860
3.37496 -0.27833
3.40720 -0.31766
3.39753 -0.32567
3.41973 -0.36778
3.40238 -0.33768
3.44226 -0.39017
3.41609 -0.35861
3.38620 -0.27819
3.40785 -0.34601
3.41713 -0.38339
3.42396 -0.40618
3.42499 -0.36721
3.41967 -0.33922
3.38500 -0.30613
3.40818 -0.33959
3.41443 -0.33390
3.40894 -0.35098
3.43789 -0.40046
3.43581 -0.37588
3.40224 -0.34241
3.39318 -0.33792
3.42471 -0.36207
3.42419 -0.36879
3.40977 -0.35803
3.39372 -0.30683
3.41541 -0.36657
3.39338 -0.31506
3.40323 -0.36772
3.40306 -0.33014
3.41634 -0.37218
3.43836 -0.40125
3.41926 -0.36317
3.39701 -0.31117
3.42722 -0.33494
3.40780 -0.34190
3.36337 -0.28069
3.40947 -0.32575
3.38030 -0.31012
3.43688 -0.38511
3.39534 -0.32830
3.44007 -0.38527
3.40901 -0.34968
3.36093 -0.25821
3.43838 -0.38477
3.38288 -0.30776
3.42325 -0.36527
